hue real s1 s2 s3 s4 s5
0 354 122 104 155 121 155
0.0204081632653061 391 171 163 236 153 184
0.0408163265306122 189 220 274 335 206 206
0.0612244897959184 562 249 314 364 247 224
0.0816326530612245 95 249 398 337 231 191
0.102040816326531 316 250 333 310 223 213
0.122448979591837 190 218 321 265 224 197
0.142857142857143 13 190 303 241 189 170
0.163265306122449 125 151 202 138 161 122
0.183673469387755 58 129 135 99 118 93
0.204081632653061 20 99 92 70 123 95
0.224489795918367 19 80 60 45 93 46
0.244897959183673 10 66 42 33 68 48
0.26530612244898 41 40 31 28 48 40
0.285714285714286 9 42 33 21 44 20
0.306122448979592 5 20 22 19 28 17
0.326530612244898 5 25 19 12 27 17
0.346938775510204 0 13 16 9 13 18
0.36734693877551 6 22 19 13 30 21
0.387755102040816 5 35 27 21 38 18
0.408163265306122 32 35 16 18 36 16
0.428571428571429 3 29 25 18 41 17
0.448979591836735 25 39 18 22 36 31
0.469387755102041 4 27 22 17 41 37
0.489795918367347 24 26 28 17 31 24
0.510204081632653 23 39 33 29 43 28
0.530612244897959 91 47 35 36 55 50
0.551020408163265 89 64 35 41 65 49
0.571428571428571 344 72 51 44 76 70
0.591836734693878 121 76 41 47 76 67
0.612244897959184 123 70 43 37 59 85
0.63265306122449 93 54 41 31 60 75
0.653061224489796 20 58 33 32 68 71
0.673469387755102 75 55 42 33 55 82
0.693877551020408 36 55 37 40 56 75
0.714285714285714 25 53 40 43 57 86
0.73469387755102 26 62 53 64 70 83
0.755102040816327 0 52 39 49 60 98
0.775510204081633 5 73 40 49 65 72
0.795918367346939 16 65 45 44 53 68
0.816326530612245 9 52 46 51 50 45
0.836734693877551 6 45 33 45 42 54
0.857142857142857 8 35 43 43 36 55
0.877551020408163 9 49 39 58 37 64
0.897959183673469 10 53 30 56 49 71
0.918367346938775 44 51 41 52 59 78
0.938775510204082 13 65 44 64 49 91
0.959183673469388 88 72 62 67 64 105
0.979591836734694 68 120 52 85 122 117
1 253 112 81 113 100 137
